experiment_id,window_length_min,weighting_method,dependence_method,n_used,y_used,effective_sample_size,trade_count,events_processed
W15m__CAPPED__EFFECTIVE_N_STAR__sequential_update,15,CAPPED,EFFECTIVE_N_STAR,6435.5006046072085,6435.5006046072085,6435.5006046072085,13126,28274
W15m__CAPPED__RAW_N__sequential_update,15,CAPPED,RAW_N,35590.0,35590.0,6435.5006046072085,13126,28274
W15m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,15,IMBALANCE_ADJUSTED,EFFECTIVE_N_STAR,9674.849055015497,9674.849055015497,9674.849055015497,13126,28274
W15m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,15,IMBALANCE_ADJUSTED,RAW_N,15226.67766403628,15226.67766403628,9674.849055015497,13126,28274
W15m__RAW__EFFECTIVE_N_STAR__sequential_update,15,RAW,EFFECTIVE_N_STAR,13126.0,13126.0,13126.0,13126,28274
W15m__RAW__RAW_N__sequential_update,15,RAW,RAW_N,13126.0,13126.0,13126.0,13126,28274
W15m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,15,SIZE_WEIGHTED,EFFECTIVE_N_STAR,2966.733425505566,2966.733425505566,2966.733425505566,13126,28274
W15m__SIZE_WEIGHTED__RAW_N__sequential_update,15,SIZE_WEIGHTED,RAW_N,46921.0,46921.0,2966.733425505566,13126,28274
W15m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,15,SUBLINEAR,EFFECTIVE_N_STAR,9263.977906207168,9263.977906207168,9263.977906207168,13126,28274
W15m__SUBLINEAR__RAW_N__sequential_update,15,SUBLINEAR,RAW_N,20848.86345432639,20848.86345432639,9263.977906207168,13126,28274
W1m__CAPPED__EFFECTIVE_N_STAR__sequential_update,1,CAPPED,EFFECTIVE_N_STAR,886.3289954417343,886.3289954417343,886.3289954417343,1787,4016
W1m__CAPPED__RAW_N__sequential_update,1,CAPPED,RAW_N,5047.0,5047.0,886.3289954417343,1787,4016
W1m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,1,IMBALANCE_ADJUSTED,EFFECTIVE_N_STAR,1295.0401260937247,1295.0401260937247,1295.0401260937247,1787,4016
W1m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,1,IMBALANCE_ADJUSTED,RAW_N,2145.2945361659763,2145.2945361659763,1295.0401260937247,1787,4016
W1m__RAW__EFFECTIVE_N_STAR__sequential_update,1,RAW,EFFECTIVE_N_STAR,1787.0,1787.0,1787.0,1787,4016
W1m__RAW__RAW_N__sequential_update,1,RAW,RAW_N,1787.0,1787.0,1787.0,1787,4016
W1m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,1,SIZE_WEIGHTED,EFFECTIVE_N_STAR,363.84151120432716,363.84151120432716,363.84151120432716,1787,4016
W1m__SIZE_WEIGHTED__RAW_N__sequential_update,1,SIZE_WEIGHTED,RAW_N,7262.0,7262.0,363.84151120432716,1787,4016
W1m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,1,SUBLINEAR,EFFECTIVE_N_STAR,1205.845592697911,1205.845592697911,1205.845592697911,1787,4016
W1m__SUBLINEAR__RAW_N__sequential_update,1,SUBLINEAR,RAW_N,2959.19764364806,2959.19764364806,1205.845592697911,1787,4016
W30m__CAPPED__EFFECTIVE_N_STAR__sequential_update,30,CAPPED,EFFECTIVE_N_STAR,10645.103498337756,10645.103498337756,10645.103498337756,21655,46936
W30m__CAPPED__RAW_N__sequential_update,30,CAPPED,RAW_N,59078.0,59078.0,10645.103498337756,21655,46936
W30m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,30,IMBALANCE_ADJUSTED,EFFECTIVE_N_STAR,15842.383452576276,15842.383452576276,15842.383452576276,21655,46936
W30m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,30,IMBALANCE_ADJUSTED,RAW_N,25262.583312144587,25262.583312144587,15842.383452576276,21655,46936
W30m__RAW__EFFECTIVE_N_STAR__sequential_update,30,RAW,EFFECTIVE_N_STAR,21655.0,21655.0,21655.0,21655,46936
W30m__RAW__RAW_N__sequential_update,30,RAW,RAW_N,21655.0,21655.0,21655.0,21655,46936
W30m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,30,SIZE_WEIGHTED,EFFECTIVE_N_STAR,4203.189371373208,4203.189371373208,4203.189371373208,21655,46936
W30m__SIZE_WEIGHTED__RAW_N__sequential_update,30,SIZE_WEIGHTED,RAW_N,80776.0,80776.0,4203.189371373208,21655,46936
W30m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,30,SUBLINEAR,EFFECTIVE_N_STAR,14917.482450145559,14917.482450145559,14917.482450145559,21655,46936
W30m__SUBLINEAR__RAW_N__sequential_update,30,SUBLINEAR,RAW_N,34712.743515789094,34712.743515789094,14917.482450145559,21655,46936
W5m__CAPPED__EFFECTIVE_N_STAR__sequential_update,5,CAPPED,EFFECTIVE_N_STAR,3159.5117064046613,3159.5117064046613,3159.5117064046613,6304,14094
W5m__CAPPED__RAW_N__sequential_update,5,CAPPED,RAW_N,17144.0,17144.0,3159.5117064046613,6304,14094
W5m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,5,IMBALANCE_ADJUSTED,EFFECTIVE_N_STAR,4669.628650748101,4669.628650748101,4669.628650748101,6304,14094
W5m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,5,IMBALANCE_ADJUSTED,RAW_N,7377.533284521572,7377.533284521572,4669.628650748101,6304,14094
W5m__RAW__EFFECTIVE_N_STAR__sequential_update,5,RAW,EFFECTIVE_N_STAR,6304.0,6304.0,6304.0,6304,14094
W5m__RAW__RAW_N__sequential_update,5,RAW,RAW_N,6304.0,6304.0,6304.0,6304,14094
W5m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,5,SIZE_WEIGHTED,EFFECTIVE_N_STAR,1383.8615874101051,1383.8615874101051,1383.8615874101051,6304,14094
W5m__SIZE_WEIGHTED__RAW_N__sequential_update,5,SIZE_WEIGHTED,RAW_N,22941.0,22941.0,1383.8615874101051,6304,14094
W5m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,5,SUBLINEAR,EFFECTIVE_N_STAR,4439.388613244913,4439.388613244913,4439.388613244913,6304,14094
W5m__SUBLINEAR__RAW_N__sequential_update,5,SUBLINEAR,RAW_N,10091.779534673335,10091.779534673335,4439.388613244913,6304,14094
W60m__CAPPED__EFFECTIVE_N_STAR__sequential_update,60,CAPPED,EFFECTIVE_N_STAR,22622.651645273978,22622.651645273978,22622.651645273978,46263,99140
W60m__CAPPED__RAW_N__sequential_update,60,CAPPED,RAW_N,125729.0,125729.0,22622.651645273978,46263,99140
W60m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,60,IMBALANCE_ADJUSTED,EFFECTIVE_N_STAR,33871.94288720819,33871.94288720819,33871.94288720819,46263,99140
W60m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,60,IMBALANCE_ADJUSTED,RAW_N,53714.54695736849,53714.54695736849,33871.94288720819,46263,99140
W60m__RAW__EFFECTIVE_N_STAR__sequential_update,60,RAW,EFFECTIVE_N_STAR,46263.0,46263.0,46263.0,46263,99140
W60m__RAW__RAW_N__sequential_update,60,RAW,RAW_N,46263.0,46263.0,46263.0,46263,99140
W60m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,60,SIZE_WEIGHTED,EFFECTIVE_N_STAR,9276.708980768604,9276.708980768604,9276.708980768604,46263,99140
W60m__SIZE_WEIGHTED__RAW_N__sequential_update,60,SIZE_WEIGHTED,RAW_N,169595.0,169595.0,9276.708980768604,46263,99140
W60m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,60,SUBLINEAR,EFFECTIVE_N_STAR,32077.45657238029,32077.45657238029,32077.45657238029,46263,99140
W60m__SUBLINEAR__RAW_N__sequential_update,60,SUBLINEAR,RAW_N,73757.55044327893,73757.55044327893,32077.45657238029,46263,99140
